nose_rs_rh_angle,nose_ls_lh_angle,rear_rsrh_angle,lear_lslh_angle,lsh_lh_lk_angle,rsh_rh_rk_angle,nose_rh_rk_angle,nose_lh_lk_angle,rsh_lh_lk_angle,lsh_rh_rk_angle,label
-0.0341,-0.5647,-0.4581,-0.8774,-0.3274,-0.2696,0.0841,-0.1075,-0.4637,-0.0955,1
-0.8354,-0.3913,-0.9931,-0.8554,0.0235,0.1763,0.3232,0.377,0.28,-0.0842,1
-0.4065,-0.5889,-0.8999,-0.9525,0.0219,0.0131,0.3405,0.2883,-0.0598,0.0993,1
-0.6728,-0.7274,-0.9483,-0.9958,0.0806,-0.1876,0.1373,0.3088,-0.0741,-0.052,1
-0.7996,-0.4136,-0.987,-0.713,0.2142,0.4674,0.5877,0.5265,0.3849,0.3251,0
-0.7569,-0.1112,-0.9845,-0.5488,-0.1917,-0.3137,-0.1135,0.1571,0.0303,-0.4747,1
-0.5611,-0.4329,-0.9838,-0.8587,0.3613,0.3843,0.5788,0.6193,0.4288,0.32,0
-0.9113,-0.3944,-0.9847,-0.8376,-0.1808,-0.3018,-0.1775,0.1742,0.151,-0.5642,1
-0.6335,-0.6907,-0.9517,-0.9468,0.4159,0.5298,0.7348,0.6686,0.4436,0.5097,0
-0.6019,-0.4266,-0.9574,-0.912,-0.0799,-0.1358,0.1464,0.2588,0.0064,-0.2204,0
-0.9277,-0.4222,-0.9686,-0.7464,0.8431,0.7822,0.8427,0.975,0.9646,0.5561,0
-0.8098,-0.134,-0.9624,-0.6089,-0.336,-0.3475,-0.2047,0.0149,-0.0907,-0.5497,1
-0.9936,-0.479,-0.9871,-0.8262,0.3408,0.5254,0.4896,0.6818,0.769,0.0877,0
-0.6768,-0.4419,-0.9964,-0.8526,0.8829,0.797,0.9072,0.9939,0.9624,0.6277,0
-0.361,-0.7152,-0.8446,-0.9807,-0.4502,-0.1789,0.1503,-0.2375,-0.5854,0.0262,1
-0.7553,-0.45,-0.9992,-0.8947,0.0839,0.1425,0.329,0.4119,0.2858,-0.0644,1
-0.4832,-0.9501,-0.9012,-0.9604,0.0212,-0.0349,0.3192,0.1197,-0.311,0.311,1
-0.0783,-0.0933,-0.6038,-0.6774,0.2256,0.2611,0.6477,0.5812,0.1737,0.3125,0
-0.8837,-0.4198,-0.9904,-0.8726,-0.0765,-0.0046,0.1288,0.2785,0.2059,-0.2856,1
-0.6562,-0.4413,-0.9892,-0.8553,0.0012,0.0464,0.2741,0.3327,0.1629,-0.1253,1
-0.8964,-0.7725,-0.9975,-0.9894,-0.2268,0.3576,0.4932,0.0653,-0.03,0.1378,1
-0.4259,-0.8566,-0.8691,-1.0,-0.2889,-0.1935,0.1408,-0.128,-0.4966,0.069,1
-0.344,-0.749,-0.8339,-1.0,0.254,0.1628,0.4833,0.4257,0.0743,0.3544,1
-0.4715,-0.4277,-0.8993,-0.9108,0.2124,0.1887,0.4861,0.5107,0.234,0.1668,1
-0.3973,-0.5645,-0.842,-0.9752,-0.1776,-0.5252,-0.1148,0.1064,-0.4514,-0.3125,1
-0.4076,-0.4024,-0.9576,-0.8394,-0.5912,-0.4116,-0.0644,-0.1523,-0.3958,-0.661,1
-0.5611,-0.4329,-0.9838,-0.8587,0.3613,0.3843,0.5788,0.6193,0.4288,0.32,0
-0.3906,-0.9443,-0.7403,-0.9875,0.5691,0.2388,0.6064,0.6507,0.2275,0.6014,1
-0.6528,-0.3985,-0.9574,-0.8238,0.095,0.2075,0.4263,0.4032,0.2091,0.0935,1
-0.955,-0.3635,-0.959,-0.7862,0.0033,0.2052,0.2902,0.4092,0.3857,-0.1816,1
